"year","day_of_year","station_id","E_km","N_km","distance_fished","depth","bottom_temp","halibut","flounder","pollock"
2000,145,"F-13",1149.43631053586,6332.26462161428,2.78,62,1.1,1,0,1
2001,152,"K-12",1102.85288750352,6511.73441629879,1.436,20,7.1,1,0,0
2002,153,"I-13",1138.59109162356,6442.68140434568,2.765,54,3.9,1,0,0
2004,157,"I-13",1138.62820457061,6443.76097190012,2.761,54,3.8,1,0,1
2006,154,"F-13",1149.50816433696,6329.89194558965,2.906,59,3.1,1,0,0
2008,157,"G-13",1146.8378558467,6368.74071215075,2.873,64,0.9,1,0,1
2009,154,"F-14",1186.96571400857,6337.33045780349,2.735,38,2.9,0,0,1
1993,156,"I-13",1138.69566035396,6443.13723414241,2.759,53,3.4,0,0,0
1994,156,"G-12",1111.26661164117,6363.21184946151,2.834,68,2.6,1,0,0
1995,156,"F-12",1112.49073133135,6326.07851656812,2.791,68,1.9,1,1,1
1996,161,"E-11",1080.27152164563,6281.96364887803,2.657,65,4.7,1,0,1
1997,159,"E-11",1079.73517274559,6284.43100110832,3.261,62,3.2,1,1,0
1998,161,"F-14",1189.02267198972,6338.07428964694,2.746,36,6,1,0,1
1999,144,"J-12",1098.67365469842,6473.08225724329,2.693,44,0.2,0,0,0
2000,145,"G-13",1146.07611810995,6367.34265275769,2.822,62,1.1,1,1,1
2001,152,"J-12",1100.17889490144,6472.01027275483,2.965,46,3.7,1,0,1
2002,154,"H-13",1142.42881555461,6405.47179566904,2.845,63,4,1,0,1
2003,154,"J-14",1171.78540653424,6484.90411111583,2.707,43,3.9,0,0,0
2004,158,"H-13",1142.32399098557,6404.24462113429,2.846,61,3.7,1,0,1
2005,154,"G-14",1185.68689042441,6373.95396287355,2.818,55,5.1,1,1,1
2006,154,"F-12",1112.80675343761,6324.93660848375,2.839,69,2.8,1,1,0
2008,157,"F-12",1111.8376388908,6324.45517245935,2.752,69,1.2,1,0,1
2009,154,"F-13",1149.60961356177,6330.57998218289,2.857,60,2,1,0,1
1993,157,"J-13",1135.27119737072,6480.18062325156,2.963,49,3.9,1,0,1
1994,156,"F-12",1113.78935181816,6325.18687722543,3.037,71,2.6,1,1,1
1995,156,"G-12",1108.55981342254,6362.63432342802,2.899,66,2.3,0,0,1
1996,162,"F-11",1078.47721923365,6318.77160714783,2.921,88,3.4,0,1,0
1997,159,"F-11",1076.61480135718,6319.40834319291,2.899,90,2,0,0,0
1998,161,"E-12",1117.44477293588,6289.49765487522,2.735,53,5.4,1,0,0
1999,144,"I-12",1101.82723065506,6437.07445610912,2.893,55,-0.4,1,0,1
2000,145,"H-13",1142.72616725151,6405.68223972431,2.781,62,1.1,1,0,1
2001,152,"I-12",1101.33788015795,6433.27815259877,3.002,57,3.6,1,0,1
2002,154,"G-13",1146.2265752913,6368.2652183518,2.939,64,3.5,1,0,1
2003,154,"I-14",1175.53322582484,6448.77828511127,1.952,51,4.2,1,0,0
2004,158,"G-13",1146.82994534485,6367.59990280068,2.666,63,3.7,1,1,1
2005,155,"F-14",1186.9451786873,6336.77663895348,2.848,39,6,1,0,1
2008,157,"E-12",1116.73519293748,6289.34374390803,2.649,56,2.2,1,1,1
2009,154,"F-12",1113.05493348534,6324.70591721977,2.868,69,1.3,1,0,1
1994,156,"D-10",1044.74659080943,6241.45093008206,2.963,66,3.6,1,1,1
1995,156,"H-12",1104.04580251223,6400.5021555462,2.775,57,2.4,0,0,1
1996,162,"G-11",1072.86298732643,6358.35732959499,2.628,71,3.9,1,0,1
1998,162,"F-12",1112.43112545513,6325.48082114154,2.671,68,4.1,0,0,1
1999,144,"H-12",1104.98421658879,6398.76157732443,2.831,61,-0.6,1,0,0
2001,152,"H-12",1104.46668457308,6398.07259604707,2.912,62,3.4,1,0,1
2002,154,"F-13",1149.54275746596,6330.58875909621,2.886,59,3.5,0,0,1
2003,154,"H-14",1179.21857441981,6411.69125533122,2.637,57,4.2,1,0,1
2004,158,"F-13",1150.11100896504,6330.18631189438,2.856,59,3.9,1,0,1
2005,155,"F-13",1149.90179788504,6330.26959738741,2.852,61,4.3,1,1,1
2006,154,"G-12",1109.13562988312,6362.13030819712,2.807,65,2,1,0,1
2009,154,"G-12",1108.97571955169,6360.64991759099,2.877,65,1.5,1,0,1
1994,156,"E-10",1042.01818565531,6276.86664143992,2.778,77,2.8,1,1,1
1995,156,"I-12",1102.62926359178,6436.13010394239,2.944,55,1.9,1,0,1
1996,162,"H-11",1063.22695474192,6391.27245607702,2.673,55,4.6,0,1,1
1997,160,"H-11",1069.18134013643,6394.00596681016,2.653,57,2.2,0,0,1
1998,162,"G-12",1109.50323667818,6361.61234335419,2.739,68,3.4,0,0,0
1999,145,"G-12",1110.20270564106,6363.19969302238,2.772,66,-0.7,1,0,0
2000,146,"K-14",1169.29799205258,6522.71514326862,2.928,25,4.2,0,0,0
2001,153,"G-12",1109.52314046545,6361.51581675804,2.76,66,3.5,1,1,1
2002,154,"F-14",1187.2773528648,6336.67858167031,2.801,36,5.5,1,0,1
2003,154,"G-14",1184.66705591757,6374.18138436891,2.803,56,4.4,1,0,0
2004,158,"F-14",1187.47473369847,6337.10801095565,2.738,37,5.2,1,0,1
2005,155,"E-12",1116.6024521885,6287.8284592228,2.877,54,5,1,1,1
2006,155,"H-12",1106.71143628383,6398.4592902096,2.812,65,1.7,1,0,1
2007,161,"H-16",1256.11770780451,6425.36481046964,2.833,33,4.8,1,0,0
2008,157,"E-11",1079.35343871715,6282.36975979158,2.816,64,1.8,1,1,1
2009,155,"H-12",1105.5883816904,6398.03841696654,2.797,64,1.3,1,0,0
1994,157,"F-10",1040.54715391538,6314.2683378584,2.963,73,2.4,1,1,1
1995,157,"J-12",1099.27494146913,6473.81886678855,2.996,42,2.4,1,0,1
1996,162,"I-11",1064.20698276976,6429.72155802317,2.852,53,4.5,1,0,1
1997,160,"I-11",1063.80703270049,6433.92139943784,2.995,53,3,1,0,0
1998,162,"H-12",1104.64666079633,6400.04018258889,2.731,62,3.6,1,0,1
1999,145,"F-12",1112.45024193773,6325.34913296847,2.875,67,-0.2,1,0,1
2001,153,"F-12",1112.40823489445,6327.59003431384,2.685,69,3.6,1,0,1
2003,154,"F-14",1187.18886873631,6337.30169067833,1.335,37,5.6,1,0,1
2005,155,"F-12",1112.16160562795,6326.27015154819,2.87,67,4.1,1,1,0
2006,155,"I-12",1103.9115419646,6436.87791386339,2.745,57,1.7,1,0,1
2008,158,"F-11",1074.86734500722,6321.11489294372,2.778,88,0.7,1,0,1
1993,158,"J-11",1060.9929218695,6466.22839571237,3.148,49,4.1,1,0,0
1994,157,"G-10",1035.51360327476,6351.16282122263,2.871,60,2.4,1,1,1
1995,157,"K-12",1097.54354033438,6512.09091659282,2.967,18,6.2,1,0,0
1996,163,"J-11",1062.89066297082,6468.12170202455,2.899,58,4.7,1,0,1
1997,160,"J-11",1061.13217659156,6468.14350727271,3.077,57,3.6,1,0,0
1998,163,"I-12",1101.06794912236,6436.37435524368,2.762,57,3.9,1,0,1
1999,145,"E-12",1118.03129351865,6289.36571756463,2.856,54,0.9,1,0,0
2001,153,"E-12",1117.24020343638,6287.71631938411,2.665,55,3.9,1,1,1
2003,155,"E-12",1117.53278586288,6288.84938971045,2.747,54,5,1,1,1
2005,156,"G-12",1109.20108253909,6361.41990503891,2.897,67,4.2,1,1,1
2006,155,"J-12",1099.70685453009,6473.49431108733,2.834,46,2.2,1,0,0
2007,161,"I-16",1251.20214647402,6460.25701190914,2.815,34,4,1,0,1
2008,158,"G-11",1072.10009447659,6356.96898748775,2.671,70,0.8,1,0,1
2009,155,"I-12",1100.11793131178,6439.25685809805,3.07,56,0.9,1,0,1
1993,158,"I-11",1066.61233861942,6429.99025277041,3.093,53,4.1,1,0,1
1994,157,"H-10",1033.99354880166,6387.91741929576,3.056,49,2.1,1,0,1
1995,157,"K-10",1021.99046847013,6497.61969328637,2.897,46,3.4,1,0,1
1997,160,"K-11",1053.48849525468,6491.65314044885,1.704,44,4.1,0,0,0
1998,163,"J-12",1098.99572886091,6473.680295537,2.82,46,4,1,0,0
1999,145,"D-10",1042.64828638355,6239.03029267057,2.813,69,1.8,1,0,1
2002,155,"E-11",1079.39061766411,6282.76690561478,2.842,64,3.9,0,1,1
2003,155,"F-12",1112.56534175918,6324.92754807645,2.756,69,4.4,1,1,0
2004,159,"E-11",1078.72971616146,6282.8288856462,2.664,64,4.1,1,1,1
2005,156,"I-12",1101.52098565302,6436.65571058279,2.801,59,4.5,1,1,1
2006,155,"K-12",1095.86484302383,6505.86944252516,1.426,32,5.2,1,0,1
2007,162,"J-16",1246.85449601184,6498.74676510984,2.887,34,5,1,0,0
2008,158,"H-11",1068.91239911664,6395.54711598522,2.75,57,1,1,0,1
2009,155,"J-12",1099.45579619695,6473.09135933371,2.949,46,1.5,1,0,0
1993,158,"H-11",1068.51791889704,6392.99362862771,3.389,55,3.9,1,1,1
1994,157,"I-10",1027.66856607319,6423.73169684603,2.741,44,2.4,1,0,1
1996,163,"K-11",1054.27797657852,6491.53115867849,1.236,36,4.9,1,0,0
1997,161,"L-09",981.167084357713,6530.47751261654,2.926,26,5.4,1,0,0
1998,163,"K-12",1099.46603725471,6510.48752425482,2.755,23,5.9,1,0,0
1999,146,"E-10",1042.1081364869,6279.55359659472,2.792,83,0.4,1,0,1
2001,153,"E-11",1079.0776157274,6282.37469539364,2.832,64,3.6,1,1,1
2002,155,"F-11",1075.92634537329,6320.21783329805,1.551,88,2.4,0,0,0
2003,155,"G-11",1071.24239447349,6356.77789099577,2.777,70,4,1,1,0
2004,159,"F-11",1074.63081863401,6319.79317572625,2.811,89,3.4,1,1,1
2005,156,"J-12",1097.63127451472,6474.35032436449,2.829,47,4.8,1,0,0
2006,155,"K-11",1053.9043613989,6490.91508983052,1.858,38,3.1,1,0,0
2007,162,"K-14",1168.29674487344,6523.88011522727,2.955,25,4.4,0,0,0
2008,158,"I-11",1065.89087138687,6432.05936899751,2.75,54,1.2,1,0,1
2009,155,"K-12",1095.84503317975,6505.73010266668,2.02,31,3.3,0,0,0
1993,158,"G-11",1072.67492841597,6356.07077256792,3.093,68,3.2,1,1,1
1994,157,"J-10",1024.33130844263,6462.16425414879,2.889,35,3.2,1,0,0
1995,158,"J-10",1025.20898393763,6458.93551997244,2.904,35,2.9,1,0,0
1996,163,"K-09",984.372898845828,6493.80549505168,3.176,33,4.6,1,0,1
1997,161,"K-09",984.425325267379,6494.82066627027,3.222,32,4.9,1,0,0
1998,164,"K-10",1023.5716508716,6498.55432222493,2.76,47,4.4,1,0,1
1999,146,"F-10",1040.40402101121,6313.84142486036,2.844,74,-0.3,1,0,1
2000,147,"K-11",1054.17703723277,6491.935057423,2.773,40,2.3,1,0,0
2001,154,"E-10",1044.09961953141,6278.27842231281,2.783,77,3,1,1,1
2002,155,"G-11",1071.91557802852,6357.14413444712,2.782,69,2.3,1,0,0
2003,155,"G-12",1109.0935788083,6362.53782325886,2.782,64,4.2,1,1,1
2004,159,"G-11",1072.12087049823,6356.99445162087,2.686,69,3.4,1,1,1
2005,156,"K-12",1096.09571375356,6505.88494277243,1.555,33,6.6,1,0,0
2006,156,"K-10",1023.02922831029,6500.82715302856,2.912,46,1.9,1,0,0
2007,162,"J-14",1172.10944349513,6486.09300432334,2.935,44,2.8,1,0,1
2009,155,"K-11",1054.03045067315,6492.00291764355,2.782,39,2.1,1,0,0
1993,158,"F-11",1077.1923987409,6320.53390312404,2.982,88,3.1,1,1,1
1994,158,"K-10",1022.83564886435,6497.40810906155,2.797,42,0,1,0,0
1995,158,"I-10",1028.75545179433,6425.71208023512,2.987,46,2.1,1,0,1
1996,163,"J-09",986.981629700483,6458.39692139426,2.658,42,4.2,1,0,0
1997,161,"J-09",986.271776088717,6458.18763466131,2.799,41,3.8,1,0,1
1998,164,"J-10",1022.56787882704,6462.22951971784,2.914,38,3.7,1,0,0
1999,146,"G-10",1036.14284627668,6352.83718842359,1.009,60,-0.3,1,0,0
2000,147,"J-11",1061.25929095844,6468.20221093471,2.758,55,1.5,0,0,1
2001,154,"F-11",1074.65554984878,6319.27704516374,1.464,90,3,1,1,0
2002,155,"H-11",1067.58149707583,6393.81488772735,2.519,57,3,1,0,1
2003,156,"H-12",1104.81174654406,6398.89465389877,2.798,65,3.9,0,1,1
2004,159,"H-11",1069.04332362108,6394.94082054061,2.823,56,3.7,0,1,1
2005,156,"K-11",1054.2005006922,6491.26623776749,1.493,40,5.3,1,0,0
2006,156,"I-10",1028.29885954305,6425.6918525568,2.874,46,1.9,1,0,1
2007,162,"I-14",1175.46264040295,6449.33576772621,1.969,51,2.1,1,0,1
2009,156,"K-10",1024.50194004841,6499.59272001146,2.879,46,2.1,1,0,0
1993,159,"E-11",1080.14417133757,6284.88392434775,1.815,64,3.6,0,1,0
1994,158,"M-08",939.113826209979,6560.83992626775,2.741,20,4.3,1,0,1
1995,158,"H-10",1030.78338584282,6387.75841247718,2.866,49,1.4,1,0,1
1996,164,"I-09",992.162621767812,6420.81312194007,3.001,46,4.5,1,1,1
1997,161,"I-09",990.068276483027,6418.81890632519,3.164,45,3.2,1,0,1
1998,164,"I-10",1028.4117637902,6426.4954735715,2.772,48,3.8,1,0,1
1999,146,"H-10",1032.04928452594,6389.32733455554,2.823,50,0,1,0,0
2000,147,"I-11",1065.56038423,6429.49776116895,2.75,53,1.1,1,0,1
2001,154,"F-10",1040.84575233834,6314.66814106356,3.026,74,3.1,1,1,1
2002,156,"I-11",1066.80489511502,6432.3761950626,2.871,54,3.3,1,0,1
2003,156,"I-12",1102.33199794597,6437.48812279286,2.895,57,4.1,1,0,1
2004,160,"I-11",1065.7818672332,6431.69910616916,2.712,53,3.5,1,0,0
2006,156,"H-10",1031.78037497015,6389.26391972856,2.815,50,1.5,1,0,1
2007,162,"H-14",1179.57479103842,6411.17851011081,2.866,56,1.8,1,0,1
2009,156,"I-10",1027.90658717862,6427.52462332466,2.82,48,1.9,1,0,1
1993,159,"C-09",1012.62783123415,6198.92614341914,2.926,51,4.6,1,1,0
1994,158,"L-08",942.932019215199,6528.31367186654,2.778,29,3.5,1,0,1
1995,158,"G-10",1034.80652338739,6350.04177017256,2.93,59,1.4,1,0,1
1996,164,"H-09",996.363948786084,6384.34700673562,2.972,51,4.5,1,0,1
1997,162,"H-09",995.245392851046,6383.92820442157,3.111,48,2.1,1,0,0
1998,165,"H-10",1031.97290116787,6386.91760289523,2.672,51,3.9,1,0,1
1999,146,"I-10",1027.45090196852,6426.53897310217,2.852,46,-0.1,1,0,0
2000,147,"H-11",1068.74887943614,6392.90526655645,2.801,56,0.9,1,0,1
2001,154,"G-10",1035.92763799922,6352.40638043627,2.746,60,3.3,1,1,1
2003,156,"J-12",1099.02511703848,6473.29906756868,2.811,47,4.4,1,0,0
2004,160,"J-11",1060.56091593668,6468.83844718325,2.8,56,3.8,1,0,0
2005,157,"J-10",1023.72102056473,6463.54378356277,2.845,40,5.4,1,0,0
2006,156,"G-10",1034.7172259946,6351.60326473295,2.852,60,2.4,1,0,1
2007,163,"G-14",1186.13645248667,6373.97040289321,2.746,56,2.1,1,0,1
2008,159,"J-11",1065.44291557743,6461.64305924825,1.513,42,1.8,1,0,1
2009,156,"H-10",1031.48198204492,6389.89065701725,2.761,52,1.3,1,0,1
1993,159,"D-09",1008.25335608435,6237.52497056525,3.185,79,2.6,1,1,1
1994,158,"K-08",945.089177864706,6490.4970444447,2.908,35,3.1,1,0,1
1995,158,"F-10",1040.57763692102,6313.74905648868,2.877,73,1.4,1,1,1
1996,164,"G-09",997.739859973858,6345.83057436822,3.152,60,4.4,1,0,1
1997,162,"G-09",1000.0526673576,6343.3478039016,2.871,62,1.3,1,0,1
1998,165,"G-10",1035.37835347555,6351.1885790538,2.745,62,3.4,1,0,0
1999,146,"J-10",1020.76957390495,6464.10603085116,3.156,37,0.2,1,0,0
2000,147,"G-11",1071.85303371318,6356.33537646721,2.734,69,0.9,1,0,1
2001,154,"H-10",1031.20273892358,6388.6987583543,2.882,50,3.4,1,0,1
2002,156,"J-11",1061.49657567749,6467.83801400613,2.744,56,3.5,1,0,1
2003,156,"K-12",1095.56486306491,6506.08208089473,1.494,33,7.7,1,0,0
2004,160,"J-10",1023.1060481899,6463.57787539861,2.762,38,4,1,0,0
2005,157,"I-10",1028.08354574945,6425.97614035672,2.869,49,5.1,1,1,0
2006,156,"F-10",1040.2882334358,6314.94890432558,2.796,71,2.5,1,1,1
2007,163,"F-14",1186.44999257198,6338.57433672768,2.742,41,4.7,1,0,1
2008,159,"I-10",1028.00417473134,6425.79948530742,2.869,48,1.4,1,0,1
2009,156,"G-10",1034.36664342943,6351.89054814505,2.977,59,1,1,0,1
1993,159,"E-09",1006.59015159207,6272.24069582878,3.148,79,1.8,1,1,1
1994,158,"J-08",949.703325994701,6455.40444925736,2.797,40,2.8,1,0,1
1995,159,"E-10",1041.92463159918,6276.3624611377,2.798,77,1.6,1,1,0
1996,164,"F-09",1002.02064760903,6307.47702364451,2.763,73,3.2,0,1,1
1997,162,"F-09",1003.45399728364,6309.92265110592,2.949,73,2,1,0,0
1998,165,"F-10",1039.30159874091,6314.79170292783,2.746,65,3.3,1,0,1
1999,147,"K-10",1022.02951116703,6499.96522013389,2.764,47,0.1,1,0,1
2000,148,"F-11",1077.95332621612,6322.30573823135,1.378,89,1.5,1,0,0
2001,155,"I-10",1027.51872204906,6426.69099761086,2.843,46,3.8,1,0,0
2002,156,"J-10",1024.34429071993,6463.24212576135,2.89,38,3.4,1,0,0
2003,156,"K-10",1023.02926820421,6500.34024558269,2.805,47,4.3,1,0,1
2004,160,"J-09",986.652452319391,6459.14337007167,2.876,41,3.9,1,0,0
2005,157,"H-10",1031.82788289407,6389.2059278712,2.84,53,4.8,1,1,1
2006,157,"E-10",1044.21890550824,6279.14027126836,2.843,78,2.5,1,1,1
2007,163,"F-13",1149.19867803785,6330.53599461996,2.893,63,1.9,1,0,1
2008,159,"I-09",990.723144254486,6421.69027162765,2.843,46,1.3,1,0,1
2009,156,"F-10",1038.50839467486,6315.59407170954,2.904,69,0.9,1,1,1
1993,159,"F-09",1003.10995203114,6309.83276169423,3.074,71,2.3,0,0,0
1994,158,"I-08",954.483103243815,6414.44197027213,2.889,44,2.1,1,0,1
1995,159,"D-10",1043.89254569097,6238.94696909469,2.962,68,1.9,1,1,1
1996,164,"E-09",1006.3332899124,6271.9152677437,2.546,80,3,0,1,1
1997,162,"E-09",1006.02124706832,6272.95740978841,3.055,78,2.2,1,0,0
1998,166,"E-10",1042.88305299928,6275.61395602491,2.74,75,3.8,1,1,1
2001,155,"J-10",1024.8392638401,6463.08973517796,2.791,39,3.9,1,0,0
2002,156,"J-09",986.584899426815,6458.57539602889,2.778,41,3.4,1,0,1
2004,160,"K-09",984.711240187193,6495.42430371092,2.84,32,4.8,1,0,0
2005,157,"G-10",1035.8342746721,6351.26430293528,2.946,62,4.1,1,1,1
2006,157,"D-10",1043.41770409267,6241.06876202472,2.921,74,3.1,1,1,0
2007,163,"F-12",1112.153940862,6326.10908150996,2.778,69,1.5,1,0,0
2008,159,"H-09",994.925653250233,6384.315557537,2.679,51,1.1,1,0,1
1993,160,"G-09",998.233254717386,6346.57348697581,2.889,60,3.4,1,1,1
1994,159,"H-08",956.108163502526,6381.70834368573,2.648,51,1.7,1,0,1
1995,159,"B-08",981.532019118194,6158.98890619226,0.945,51,2.8,1,1,0
1997,162,"D-09",1010.0494175036,6235.71719889436,3.306,79,2.8,1,1,1
1998,166,"D-10",1044.15192715459,6239.84929722661,2.781,71,5.4,1,1,1
1999,147,"K-09",984.192016507229,6493.21491601521,3.112,34,0.3,1,0,0
2001,155,"K-10",1022.83975096243,6501.50902394459,2.67,48,3.8,1,0,0
2002,157,"K-09",984.586140197224,6495.52637031577,2.719,32,3.8,1,0,0
2004,161,"I-09",991.905355599567,6421.09430660331,2.837,44,4.5,1,0,1
2005,158,"F-10",1040.47289854077,6315.60481614468,1.437,70,4.1,1,1,0
2006,157,"D-09",1009.51781387079,6235.3446127474,2.973,79,2.9,1,1,1
2007,163,"G-12",1107.21870865382,6362.55579789311,2.842,64,1.3,1,0,1
2008,160,"G-09",998.658741106228,6345.99516450417,2.857,61,0.7,1,0,1
2009,157,"E-10",1044.81872465254,6281.47223891785,2.915,82,1,1,1,1
1993,160,"H-09",994.630391559456,6384.56474353807,2.834,48,3.8,1,1,1
1994,159,"G-08",961.496157082584,6340.74095774418,2.778,64,1.7,1,1,1
1995,160,"C-08",978.39076079134,6195.19828190303,2.897,79,1.7,1,1,1
1996,165,"D-07",936.84770873026,6226.75760633736,2.658,91,2.7,1,1,1
1997,163,"B-07",945.120717098628,6155.30161987771,2.704,72,3,1,1,1
1998,166,"C-09",1012.38325519672,6200.11986341065,2.716,51,5.4,1,1,1
1999,147,"J-09",985.781042938382,6459.52906954536,2.962,42,0.1,1,0,1
2001,155,"L-09",979.697352594701,6530.31374507355,1.478,27,3,0,0,0
2002,157,"L-07",906.383420487553,6524.56636696336,2.856,35,3.5,0,0,1
2003,157,"M-08",938.09446826721,6563.99039428639,3.082,22,6.1,1,0,1
2004,161,"H-09",994.499767063125,6383.13836237367,2.794,49,4.5,1,1,1
2005,158,"E-10",1043.79006878385,6278.19962750636,1.964,79,4,0,1,0
2007,164,"H-12",1105.02423733479,6399.92533966815,2.894,65,0.7,1,1,1
2008,160,"F-08",966.992794432931,6306.21974697165,2.804,76,0.5,1,0,1
2009,157,"D-10",1043.5895955277,6240.0428776388,2.733,73,2,1,1,1
1993,160,"I-09",991.179242507973,6422.98856354104,3.074,44,3.6,1,0,0
1994,159,"F-08",965.562615059965,6306.73711961131,2.667,73,1.9,1,1,1
1995,160,"D-08",974.181384038387,6233.45076481364,2.772,86,1,1,1,1
1996,165,"C-07",936.251981939204,6192.041204283,3.153,93,2.9,1,1,1
1997,163,"C-07",939.888131484735,6191.79399819994,2.89,96,2.4,1,1,1
1998,168,"B-08",980.218031901956,6158.35485033781,2.682,53,5.6,1,1,0
1999,148,"K-08",945.465209689364,6489.97311413096,2.843,40,0.5,1,0,0
2000,149,"C-07",940.169395055304,6193.67995117478,2.94,94,2.5,1,1,1
2002,157,"M-07",901.552078574267,6560.9982870668,2.872,29,4.4,1,0,1
2005,158,"D-10",1043.64040821663,6240.08988144606,2.792,74,4.5,1,1,0
2006,157,"C-09",1013.10916780896,6199.82752359865,2.846,49,3.6,1,1,1
2007,164,"I-12",1101.49537266861,6437.18786525592,2.873,59,0.4,1,0,1
2008,160,"F-09",1001.481536654,6309.88849642529,2.668,72,1.3,0,1,1
1993,160,"J-09",986.883019725645,6458.56254246775,3.056,40,4.6,0,0,0
1995,160,"E-08",968.314870634012,6267.49062146006,2.605,82,0.8,0,1,1
1996,165,"B-07",944.700515047626,6157.25097680376,2.368,76,3.6,1,0,1
1997,163,"D-07",938.595197679041,6229.84054482401,2.842,90,2.2,1,1,1
1998,168,"C-08",976.727231864907,6194.35762673151,2.666,80,4.6,1,1,1
1999,148,"J-08",951.183945787964,6455.94681100251,2.89,46,0.2,0,0,0
2000,149,"D-07",939.897445072578,6225.77866812505,2.827,89,1.9,1,1,1
2001,156,"M-08",937.719028196937,6565.34373691554,3.019,22,4.1,1,0,1
2002,157,"N-07",896.852348881453,6597.65108825956,2.89,22,6.7,1,0,1
2005,158,"C-09",1012.09432279428,6199.97099195781,2.504,53,4.6,1,1,0
2006,157,"C-08",977.368119760483,6195.88326275383,2.85,82,3,1,1,1
2007,164,"J-12",1097.31447760628,6474.61841324114,2.871,47,2,1,0,1
2008,160,"E-09",1006.42640486036,6273.04590549849,2.745,79,1.9,0,1,0
2009,157,"D-09",1008.37057136114,6235.92993568956,2.716,79,1.6,1,1,1
1993,161,"K-09",986.177871453631,6492.37822450949,2.815,31,5,1,0,0
1994,159,"E-08",969.577965858249,6266.70260927483,2.759,82,2.3,0,1,1
1995,160,"F-08",966.888393112231,6305.64935792745,2.98,73,0.8,1,0,1
2000,149,"D-06",898.547471430944,6224.98310746377,2.687,92,2.1,1,1,1
2003,158,"N-06",861.30149624269,6594.44812363928,2.857,23,6.7,0,0,1
2006,158,"B-08",981.096618381159,6159.99199605705,2.856,54,3.5,1,1,1
2007,164,"K-12",1096.54068502646,6505.70243748771,1.529,32,5.3,1,0,1
2008,160,"D-09",1010.84814592883,6234.86292361446,2.733,81,1.4,0,1,1
2009,157,"D-08",974.788809603261,6233.04201897214,2.779,87,0.1,1,1,1
1993,161,"N-07",897.888786083792,6596.50329772,3.222,22,7.9,1,0,1
1994,160,"D-08",973.686121035707,6232.8445799973,2.945,88,2.8,1,1,1
1995,161,"G-08",961.447232984526,6344.68126780226,2.847,64,0.6,1,0,1
1996,166,"F-07",928.398700723896,6300.64094718481,2.814,77,1.3,0,0,1
1997,164,"E-07",932.790519216027,6264.65881327808,2.917,86,1.4,1,0,1
1998,168,"E-08",969.870226023923,6269.30092823782,2.73,86,3.3,1,1,1
1999,148,"H-08",957.324151073372,6381.40410929842,2.767,54,0.3,1,0,1
2000,149,"C-06",903.615755031829,6185.24753791039,2.635,95,2.9,1,1,0
2005,159,"D-08",973.696933279755,6233.40608308504,2.786,90,4,1,1,0
2006,158,"E-08",968.201481809258,6269.2297121641,2.859,86,2.4,1,1,1
2007,164,"K-10",1023.49905994083,6497.80576688471,2.86,47,4.8,1,0,0
2008,161,"C-09",1013.17067920063,6199.65436059143,2.859,51,3.2,1,1,1
1993,161,"M-07",901.489185898085,6560.42120467097,3.019,26,5.9,1,0,1
1994,160,"C-08",977.360579800608,6196.18782804435,1.926,82,3.3,0,1,1
1995,161,"H-08",959.020522076048,6378.37454812405,2.767,51,0.9,1,0,1
1997,164,"F-07",928.225782451728,6301.90335104387,2.648,84,1.5,1,0,1
1998,169,"F-08",964.907544120706,6308.22667793432,2.683,75,3.4,1,0,1
1999,149,"G-08",961.743492959512,6345.47310114224,2.918,66,-0.3,1,0,1
2000,150,"B-06",909.188439646298,6152.05303982598,1.879,99,3.2,1,1,1
2001,156,"N-07",897.559462092684,6597.5753105492,2.896,23,4.4,1,0,0
2005,159,"E-08",968.714259249308,6268.73970753646,2.807,86,3.7,1,1,1
2006,158,"F-08",966.23703623788,6307.06734665183,2.973,75,2.1,1,1,1
2007,165,"J-10",1024.46772958777,6463.77291247404,2.937,40,3.3,1,0,0
2009,158,"E-09",1006.68810293599,6274.94575474219,2.823,77,1.3,1,1,1
1993,161,"L-07",905.313239586398,6525.06430265458,2.759,33,5.8,1,0,1
1994,160,"B-08",980.834650890964,6157.26488093264,2.241,51,4.5,1,1,0
1995,161,"I-08",955.422665912385,6416.48309227806,2.719,46,2.3,1,0,1
1996,166,"G-07",924.738050980543,6339.26993196767,2.82,68,1.5,1,0,1
1997,164,"G-07",926.025352614929,6343.31754878991,2.733,68,0.8,0,0,0
1998,169,"G-08",961.886825208775,6344.44079309887,2.754,65,3.3,0,1,1
1999,149,"F-08",967.645574959587,6305.69761862884,2.842,77,0.5,1,0,1
2000,151,"Z-05",876.797720830752,6075.30387844977,2.781,84,4.5,1,1,0
2001,156,"M-07",900.095100180041,6561.31644469788,2.96,30,3,1,0,0
2003,159,"M-06",864.064722433006,6556.58292153898,2.867,28,4.9,1,0,0
2004,162,"E-09",1006.60799615931,6273.61253387336,2.661,79,3.4,0,1,0
2005,159,"F-09",1002.92175753671,6310.60461826557,2.796,73,3.9,1,1,1
2006,158,"G-08",960.66275231996,6342.70567294727,2.912,65,1.5,1,0,1
2007,165,"I-10",1028.22086303549,6425.70861145178,2.847,50,2.2,1,0,1
2008,161,"C-07",938.837393287245,6195.19315592442,2.772,94,1.6,1,1,1
2009,158,"E-08",968.213577230502,6269.09518658259,2.776,86,1.2,1,1,1
1993,161,"K-07",909.334250536749,6488.0552686587,3.148,40,4,1,0,1
