"year","E_km","N_km","depth","bottom_temp","day_of_year","distance_fished"
1982,840,6060,131.145926013294,4.63286228630231,179.661585365854,2.767535022934
1982,860,6060,113.555371758249,4.75693361958693,179.661585365854,2.767535022934
1982,880,6060,93.5798780974046,4.88513383200118,179.661585365854,2.767535022934
1982,900,6060,72.5690185215122,5.02656505151116,179.661585365854,2.767535022934
1982,780,6080,159.826366829882,4.25420387190308,179.661585365854,2.767535022934
1982,800,6080,155.063497737367,4.33489987145639,179.661585365854,2.767535022934
1982,820,6080,146.246443541202,4.42444977035411,179.661585365854,2.767535022934
1982,840,6080,133.172671899631,4.51263491441981,179.661585365854,2.767535022934
1982,860,6080,116.316916437646,4.59414433968885,179.661585365854,2.767535022934
1982,880,6080,97.0319777614171,4.67338793067247,179.661585365854,2.767535022934
1982,900,6080,76.9285184931875,4.76612217645603,179.661585365854,2.767535022934
1982,740,6100,154.367173946226,4.15271309713163,179.661585365854,2.767535022934
1982,760,6100,155.755307217171,4.18834769865863,179.661585365854,2.767535022934
1982,780,6100,155.269019547549,4.2385186759098,179.661585365854,2.767535022934
1982,800,6100,151.80986339017,4.2970964385423,179.661585365854,2.767535022934
1982,820,6100,144.406412501234,4.35605979303241,179.661585365854,2.767535022934
1982,840,6100,132.816798196865,4.4002854622114,179.661585365854,2.767535022934
1982,860,6100,117.376223918518,4.42582276952343,179.661585365854,2.767535022934
1982,880,6100,99.6455960416197,4.44146440894857,179.661585365854,2.767535022934
1982,900,6100,81.240429079218,4.47278292755851,179.661585365854,2.767535022934
1982,920,6100,63.2667594085589,4.55369875519602,179.661585365854,2.767535022934
1982,720,6120,145.658896420114,4.15385417370897,179.661585365854,2.767535022934
1982,740,6120,146.783674361277,4.17430394013659,179.661585365854,2.767535022934
1982,760,6120,147.966744425047,4.20501438135824,179.661585365854,2.767535022934
1982,780,6120,147.912815172346,4.24412506680017,179.661585365854,2.767535022934
1982,800,6120,145.371353391891,4.28114707887063,179.661585365854,2.767535022934
1982,820,6120,139.440487252652,4.30170273484686,179.661585365854,2.767535022934
1982,840,6120,129.839253645576,4.28913340145063,179.661585365854,2.767535022934
1982,860,6120,116.925014544731,4.24223064245541,179.661585365854,2.767535022934
1982,880,6120,102.013839231189,4.17873849677503,179.661585365854,2.767535022934
1982,900,6120,86.3491588973411,4.1377129358386,179.661585365854,2.767535022934
1982,920,6120,70.8433383867101,4.16741089184406,179.661585365854,2.767535022934
1982,680,6140,142.844217773619,4.14776565375514,179.661585365854,2.767535022934
1982,700,6140,140.866694648769,4.15363252528422,179.661585365854,2.767535022934
1982,720,6140,139.933355919156,4.16313925798987,179.661585365854,2.767535022934
1982,740,6140,139.92554976601,4.18263437365575,179.661585365854,2.767535022934
1982,760,6140,140.146775481487,4.21226123517948,179.661585365854,2.767535022934
1982,780,6140,139.713965941403,4.24341287070445,179.661585365854,2.767535022934
1982,800,6140,137.40604785329,4.25881732392746,179.661585365854,2.767535022934
1982,820,6140,132.612832660981,4.2373435373484,179.661585365854,2.767535022934
1982,840,6140,125.181205379141,4.16064143916418,179.661585365854,2.767535022934
1982,860,6140,115.527156635334,4.03235316718528,179.661585365854,2.767535022934
1982,880,6140,104.42507707752,3.88247399446351,179.661585365854,2.767535022934
1982,900,6140,92.5075101234068,3.76475482488208,179.661585365854,2.767535022934
1982,920,6140,80.00208075488,3.74430928036212,179.661585365854,2.767535022934
1982,940,6140,66.7499279968714,3.86175224999869,179.661585365854,2.767535022934
1982,960,6140,52.5269280505179,4.12068028303287,179.661585365854,2.767535022934
1982,980,6140,37.7955550101399,4.47774248510107,179.661585365854,2.767535022934
1982,1000,6140,23.4059347909178,4.86906733610667,179.661585365854,2.767535022934
1982,640,6160,147.629597744074,4.13028158646551,179.661585365854,2.767535022934
1982,660,6160,144.669660100723,4.13964421167933,179.661585365854,2.767535022934
1982,680,6160,141.603005443274,4.13733972974426,179.661585365854,2.767535022934
1982,700,6160,139.07211431019,4.13086417322588,179.661585365854,2.767535022934
1982,720,6160,137.147186892736,4.13214643883779,179.661585365854,2.767535022934
1982,740,6160,135.797213036721,4.14773200764435,179.661585365854,2.767535022934
1982,760,6160,134.593314098895,4.17388494023601,179.661585365854,2.767535022934
1982,780,6160,132.937670949328,4.19569292661608,179.661585365854,2.767535022934
1982,800,6160,130.084114982033,4.18830687502589,179.661585365854,2.767535022934
1982,820,6160,125.729469178635,4.12496954946995,179.661585365854,2.767535022934
1982,840,6160,120.031299950482,3.98730772502473,179.661585365854,2.767535022934
1982,860,6160,113.412312593414,3.785259319988,179.661585365854,2.767535022934
1982,880,6160,106.220585729568,3.55976758735182,179.661585365854,2.767535022934
1982,900,6160,98.3510239475777,3.37757459226304,179.661585365854,2.767535022934
1982,920,6160,89.2209169793326,3.31615482938368,179.661585365854,2.767535022934
1982,940,6160,78.4306398461302,3.42109996393843,179.661585365854,2.767535022934
1982,960,6160,65.8574733941085,3.6944641592189,179.661585365854,2.767535022934
1982,980,6160,52.0466703754386,4.07893227333229,179.661585365854,2.767535022934
1982,1000,6160,38.2079934429374,4.49382702293236,179.661585365854,2.767535022934
1982,640,6180,147.535881438121,4.11639918246442,179.661585365854,2.767535022934
1982,660,6180,145.784984738352,4.10415657562591,179.661585365854,2.767535022934
1982,680,6180,143.210408026276,4.08085139529106,179.661585365854,2.767535022934
1982,700,6180,140.390375362007,4.05555324818723,179.661585365854,2.767535022934
1982,720,6180,137.400473299805,4.04210911977578,179.661585365854,2.767535022934
1982,740,6180,134.456892624418,4.0460616255734,179.661585365854,2.767535022934
