"lon","lat","present","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19","elevation"
-123.010171,38.822872,1,15.0786666870117,14.7533330917358,51.3480911254883,516.460266113281,31.7759990692139,3.04399991035461,28.7319984436035,9,21.1406669616699,21.5746669769287,9,964,207,2,93.2222442626953,526,11,20,526,158.457226817857
-122.861272,38.516453,1,14.6013336181641,14.9359998703003,56.2180061340332,438.922271728516,29.3279991149902,2.75999999046326,26.5679988861084,9.19600009918213,19.6113338470459,19.7533340454102,9.19600009918213,981,210,2,94.3360214233398,542,10,18,542,34.3719062427145
-122.85867,38.581161,1,14.9046669006348,15.0066661834717,55.1959228515625,457.423553466797,30.0639991760254,2.87600016593933,27.1879997253418,9.30666637420654,20.1720008850098,20.2946662902832,9.30666637420654,1005,217,2,94.9729232788086,558,10,18,558,33.7860739422407
-122.783435,38.609131,1,14.7344999313354,15.16100025177,54.4497909545898,477.668975830078,30.4120006561279,2.56799983978271,27.8440017700195,8.93266677856445,20.2746658325195,20.4253330230713,8.93266677856445,973,213,1,95.4609451293945,544,9,17,544,91.9261173964181
-122.621538,38.666154,1,13.4663333892822,13.9646663665771,50.7584571838379,520.364501953125,29.8120002746582,2.29999995231628,27.5120010375977,7.73399972915649,19.7173328399658,20.1933326721191,7.73399972915649,1139,241,2,92.4987182617188,617,14,24,617,552.019596893941
-122.45109,37.615747,1,13.3026666641235,9.52733325958252,58.0227355957031,261.301940917969,22.1359996795654,5.71600008010864,16.4200000762939,10.1313333511353,15.8413333892822,16.4986667633057,10.1313333511353,777,160,2,91.7399826049805,417,10,15,417,181.63658431881
-122.43117,37.685885,1,13.8653335571289,9.84200000762939,57.7311134338379,270.109466552734,23.0559997558594,6.00799989700317,17.0480003356934,10.5220003128052,16.431999206543,17.054666519165,10.5220003128052,792,164,2,91.6577453613281,427,10,15,427,132.123866627757
-122.3901,39.0177,1,14.5895004272461,15.9343338012695,47.536792755127,657.063781738281,34.1080017089844,0.587999999523163,33.5200004577637,7.19266653060913,22.8133335113525,22.8993339538574,7.19266653060913,715,148,1,91.0073776245117,388,11,18,388,499.380112006088
-122.368994,37.49758,1,13.2643337249756,10.3080005645752,57.0132713317871,301.361114501953,23.0160007476807,4.93599987030029,18.0800018310547,9.70133304595947,16.3906669616699,17.0520000457764,9.70133304595947,788,159,3,90.2504119873047,414,12,17,414,276.896758468797
-122.351566,37.448358,1,13.1394996643066,10.3416662216187,57.4792518615723,306.885101318359,22.9559993743896,4.96400022506714,17.9919986724854,9.69333362579346,16.3486671447754,17.0933322906494,9.69333362579346,894,178,3,89.5075988769531,464,13,19,464,383.609960634393
-122.240422,37.86568,1,14.4788331985474,10.8950004577637,54.1393394470215,372.357879638672,25.4559993743896,5.33199977874756,20.1240005493164,9.8866662979126,18.3813343048096,18.9566669464111,9.8866662979126,723,152,2,91.7516784667969,390,10,14,390,229.16281827771
-122.231587,38.550494,1,15.565333366394,14.3013334274292,48.1396713256836,580.602783203125,32.992000579834,3.28399991989136,29.7080001831055,8.64266681671143,22.5813331604004,22.656665802002,8.64266681671143,681,149,1,94.976203918457,383,7,13,383,190.735589335225
-122.224333,37.342381,1,13.6373338699341,11.7686672210693,54.880931854248,378.117950439453,25.4720001220703,4.02799987792969,21.4440002441406,9.30466651916504,17.8579998016357,18.533332824707,9.30466651916504,841,170,3,91.0079956054688,443,12,18,443,399.456482822591
-122.202185,37.857115,1,14.2294998168945,11.3123331069946,51.6639289855957,412.384063720703,26.3759994506836,4.48000001907349,21.8959999084473,9.20866680145264,18.6613330841064,19.3146667480469,9.20866680145264,747,157,2,91.8855819702148,403,10,15,403,300.620887537126
-122.179467,37.439097,1,14.712833404541,11.8963327407837,55.1062278747559,373.538543701172,25.7240009307861,4.13599967956543,21.5880012512207,11.0719995498657,18.9253330230713,19.1499996185303,10.0520000457764,473,95,1,89.4864349365234,250,6,9,244,41.5083922166516
-122.171949,37.363037,1,13.9618330001831,12.0843334197998,54.6901397705078,388.780548095703,26.007999420166,3.91200017929077,22.0959987640381,9.38199996948242,18.3753337860107,18.8939990997314,9.38199996948242,738,151,2,92.0458374023438,392,9,14,392,351.905677918599
-122.160653,37.414583,1,14.8505001068115,12.2943334579468,55.2008476257324,386.339996337891,26.3600006103516,4.08799982070923,22.2720012664795,11.050666809082,19.232666015625,19.4899997711182,10.0880002975464,480,96,2,89.1071243286133,252,7,10,248,65.8993783452217
-122.122959,37.772939,1,14.2923336029053,11.2546663284302,52.7991485595703,394.127075195312,25.8159999847412,4.5,21.3159999847412,10.2046670913696,18.4673328399658,19.0053329467773,9.32666683197021,571,118,1,90.2185974121094,307,8,12,302,197.908043765972
-122.099106,38.502704,1,15.4035005569458,14.0803337097168,47.1229362487793,593.945373535156,32.9039993286133,3.0239999294281,29.8799991607666,8.43666648864746,22.5853328704834,22.767333984375,8.43666648864746,735,161,1,94.5824432373047,411,8,14,411,265.160619934534
-122.097436,38.508611,1,15.4035005569458,14.0803337097168,47.1229362487793,593.945373535156,32.9039993286133,3.0239999294281,29.8799991607666,8.43666648864746,22.5853328704834,22.767333984375,8.43666648864746,735,161,1,94.5824432373047,411,8,14,411,265.160619934534
-122.091556,37.43283,1,15.1032991409302,11.8031253814697,54.6862945556641,377.464630126953,25.9750003814697,4.39166688919067,21.5833339691162,11.4145832061768,19.3027782440186,19.4916667938232,10.3354167938232,395,78,1,88.7683258056641,207,5,8,202,3.31565156472741
